n_cluster,Log_MAP,BIC,CS_Marginal_likelihood
1,-42464.4735806,-42453.075646,-19950.896610349922412
2,-42177.6740892,-42142.768891,-19627.452759295574651
3,-42208.2382712,-42152.286624,-19613.488343907691160
4,-42270.4530983,-42193.331232,-19626.506067672515201
5,-42347.1798686,-42247.613089,-19650.732343590905657

